YEAR,JURISDICTION,LOCATION,AGE_GROUP,DETECTION_METHOD,FINES,DETECTION_GROUP
2024,NSW,Major Cities of Australia,65 and over,Police issued,31,Police
2024,NSW,Outer Regional Australia,17-25,Police issued,6,Police
2024,NSW,Outer Regional Australia,26-39,Police issued,11,Police
2024,NSW,Outer Regional Australia,40-64,Police issued,3,Police
2024,NSW,Outer Regional Australia,65 and over,Police issued,2,Police
2024,NSW,Remote Australia,17-25,Police issued,1,Police
2024,NSW,Unknown,17-25,Police issued,12,Police
2024,NSW,Unknown,26-39,Police issued,14,Police
2024,NSW,Unknown,40-64,Police issued,10,Police
2024,NSW,Unknown,65 and over,Police issued,2,Police
2024,NSW,Unknown,Unknown,Fixed or mobile camera,13537,Camera
2024,NT,Unknown,17-25,Police issued,1,Police
2024,NT,Unknown,26-39,Police issued,6,Police
2024,NT,Unknown,40-64,Police issued,1,Police
2024,QLD,Unknown,0-16,Fixed camera,162,Camera
2024,QLD,Unknown,0-16,Police issued,2,Police
2024,QLD,Unknown,17-25,Fixed camera,864,Camera
2024,QLD,Unknown,17-25,Police issued,64,Police
2024,QLD,Unknown,26-39,Fixed camera,2545,Camera
2024,QLD,Unknown,26-39,Police issued,105,Police
2024,QLD,Unknown,40-64,Fixed camera,2472,Camera
2024,QLD,Unknown,40-64,Police issued,53,Police
2024,QLD,Unknown,65 and over,Fixed camera,318,Camera
2024,QLD,Unknown,65 and over,Police issued,7,Police
2024,QLD,Unknown,Unknown,Fixed camera,30,Camera
2024,SA,Inner Regional Australia,17-25,Police issued,1,Police
2024,SA,Inner Regional Australia,26-39,Police issued,1,Police
2024,SA,Inner Regional Australia,40-64,Police issued,2,Police
2024,SA,Major Cities of Australia,17-25,Police issued,32,Police
2024,SA,Major Cities of Australia,26-39,Police issued,55,Police
2024,SA,Major Cities of Australia,40-64,Police issued,42,Police
2024,SA,Major Cities of Australia,65 and over,Police issued,6,Police
2024,SA,Outer Regional Australia,17-25,Police issued,1,Police
2024,SA,Outer Regional Australia,40-64,Police issued,1,Police
2024,SA,Remote Australia,26-39,Police issued,1,Police
2024,SA,Unknown,17-25,Police issued,1,Police
2024,TAS,Unknown,17-25,Fixed or mobile camera,10,Camera
2024,TAS,Unknown,17-25,Police issued,37,Police
2024,TAS,Unknown,26-39,Fixed or mobile camera,77,Camera
2024,TAS,Unknown,26-39,Police issued,44,Police
2024,TAS,Unknown,40-64,Fixed or mobile camera,50,Camera
2024,TAS,Unknown,40-64,Police issued,36,Police
2024,TAS,Unknown,65 and over,Fixed or mobile camera,9,Camera
2024,TAS,Unknown,65 and over,Police issued,10,Police
2024,VIC,Inner Regional Australia,0-16,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,0-16,Mobile camera,0,Camera
2024,VIC,Inner Regional Australia,17-25,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,17-25,Mobile camera,101,Camera
2024,VIC,Inner Regional Australia,26-39,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,26-39,Mobile camera,387,Camera
2024,VIC,Inner Regional Australia,40-64,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,40-64,Mobile camera,502,Camera
2024,VIC,Inner Regional Australia,65 and over,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,65 and over,Mobile camera,85,Camera
2024,VIC,Inner Regional Australia,Unknown,Fixed camera,0,Camera
2024,VIC,Inner Regional Australia,Unknown,Mobile camera,330,Camera
2024,VIC,Major Cities of Australia,0-16,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,0-16,Mobile camera,0,Camera
2024,VIC,Major Cities of Australia,17-25,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,17-25,Mobile camera,290,Camera
2024,VIC,Major Cities of Australia,26-39,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,26-39,Mobile camera,1402,Camera
2024,VIC,Major Cities of Australia,40-64,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,40-64,Mobile camera,1884,Camera
2024,VIC,Major Cities of Australia,65 and over,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,65 and over,Mobile camera,289,Camera
2024,VIC,Major Cities of Australia,Unknown,Fixed camera,0,Camera
2024,VIC,Major Cities of Australia,Unknown,Mobile camera,1223,Camera
2024,VIC,Outer Regional Australia,0-16,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,0-16,Mobile camera,0,Camera
2024,VIC,Outer Regional Australia,17-25,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,17-25,Mobile camera,0,Camera
2024,VIC,Outer Regional Australia,26-39,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,26-39,Mobile camera,0,Camera
2024,VIC,Outer Regional Australia,40-64,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,40-64,Mobile camera,0,Camera
2024,VIC,Outer Regional Australia,65 and over,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,65 and over,Mobile camera,0,Camera
2024,VIC,Outer Regional Australia,Unknown,Fixed camera,0,Camera
2024,VIC,Outer Regional Australia,Unknown,Mobile camera,0,Camera
2024,VIC,Remote Australia,0-16,Fixed camera,0,Camera
2024,VIC,Remote Australia,0-16,Mobile camera,0,Camera
2024,VIC,Remote Australia,17-25,Fixed camera,0,Camera
2024,VIC,Remote Australia,17-25,Mobile camera,0,Camera
2024,VIC,Remote Australia,26-39,Fixed camera,0,Camera
2024,VIC,Remote Australia,26-39,Mobile camera,0,Camera
2024,VIC,Remote Australia,40-64,Fixed camera,0,Camera
2024,VIC,Remote Australia,40-64,Mobile camera,0,Camera
2024,VIC,Remote Australia,65 and over,Fixed camera,0,Camera
2024,VIC,Remote Australia,65 and over,Mobile camera,0,Camera
2024,VIC,Remote Australia,Unknown,Fixed camera,0,Camera
2024,VIC,Remote Australia,Unknown,Mobile camera,0,Camera
2024,VIC,Unknown,0-16,Fixed camera,0,Camera
2024,VIC,Unknown,0-16,Mobile camera,0,Camera
2024,VIC,Unknown,0-16,Police issued,3,Police
2024,VIC,Unknown,17-25,Fixed camera,0,Camera
2024,VIC,Unknown,17-25,Mobile camera,0,Camera
2024,VIC,Unknown,17-25,Police issued,258,Police
2024,VIC,Unknown,26-39,Fixed camera,0,Camera
2024,VIC,Unknown,26-39,Mobile camera,0,Camera
2024,VIC,Unknown,26-39,Police issued,587,Police
2024,VIC,Unknown,40-64,Fixed camera,0,Camera
2024,VIC,Unknown,40-64,Mobile camera,0,Camera
2024,VIC,Unknown,40-64,Police issued,452,Police
2024,VIC,Unknown,65 and over,Fixed camera,0,Camera
2024,VIC,Unknown,65 and over,Mobile camera,0,Camera
2024,VIC,Unknown,65 and over,Police issued,56,Police
2024,VIC,Unknown,Unknown,Fixed camera,0,Camera
2024,VIC,Unknown,Unknown,Mobile camera,0,Camera
2024,VIC,Unknown,Unknown,Police issued,1,Police
2024,WA,Unknown,17-25,Police issued,62,Police
2024,WA,Unknown,17-25,Unknown,0,Unknown
2024,WA,Unknown,26-39,Police issued,130,Police
2024,WA,Unknown,26-39,Unknown,0,Unknown
2024,WA,Unknown,40-64,Police issued,91,Police
2024,WA,Unknown,40-64,Unknown,0,Unknown
2024,WA,Unknown,65 and over,Police issued,11,Police
2024,ACT,Major Cities of Australia,17-25,Fixed or mobile camera,265,Camera
2024,ACT,Major Cities of Australia,17-25,Police issued,5,Police
2024,ACT,Major Cities of Australia,26-39,Fixed or mobile camera,670,Camera
2024,ACT,Major Cities of Australia,26-39,Police issued,9,Police
2024,ACT,Major Cities of Australia,40-64,Fixed or mobile camera,614,Camera
2024,ACT,Major Cities of Australia,40-64,Police issued,6,Police
2024,ACT,Major Cities of Australia,65 and over,Fixed or mobile camera,68,Camera
2024,ACT,Major Cities of Australia,65 and over,Police issued,1,Police
2024,ACT,Major Cities of Australia,Unknown,Fixed or mobile camera,27,Camera
2024,NSW,Inner Regional Australia,17-25,Police issued,56,Police
2024,NSW,Inner Regional Australia,26-39,Police issued,63,Police
2024,NSW,Inner Regional Australia,40-64,Police issued,28,Police
2024,NSW,Inner Regional Australia,65 and over,Police issued,6,Police
2024,NSW,Major Cities of Australia,17-25,Police issued,337,Police
2024,NSW,Major Cities of Australia,26-39,Police issued,382,Police
2024,NSW,Major Cities of Australia,40-64,Police issued,254,Police
2024,NSW,Major Cities of Australia,65 and over,Police issued,26,Police
2024,NSW,Outer Regional Australia,17-25,Police issued,4,Police
2024,NSW,Outer Regional Australia,26-39,Police issued,5,Police
