YEAR,JURISDICTION,LOCATION,AGE_GROUP,DETECTION_METHOD,FINES,ARRESTS,CHARGES,,
2008,ACT,General,0-65+,Police,2060,0,0,,
2008,NSW,General,0-65+,Police,40882,0,0,,
2008,NT,General,0-65+,Police,671,0,0,,
2008,QLD,General,0-65+,Police,28499,0,0,,
2008,SA,General,0-65+,Police,11411,0,0,,
2008,TAS,General,0-65+,Police,6780,0,0,,
2008,VIC,General,0-65+,Police,49739,0,0,,
2008,WA,General,0-65+,Police,15957,0,0,,
2009,ACT,General,0-65+,Police,1890,0,0,, 
2009,NSW,General,0-65+,Police,41167,0,0,,
2009,NT,General,0-65+,Police,1106,0,0,,
2009,QLD,General,0-65+,Police,33352,0,0,,
2009,SA,General,0-65+,Police,14167,0,0,,
2009,TAS,General,0-65+,Police,5665,0,0,,
2009,VIC,General,0-65+,Police,53101,0,0,,
2009,WA,General,0-65+,Police,14804,0,0,,
2010,ACT,General,0-65+,Police,2407,0,0,,
2010,NSW,General,0-65+,Police,51104,0,0,,
2010,NT,General,0-65+,Police,998,0,0,,
2010,QLD,General,0-65+,Police,33013,0,0,,
2010,SA,General,0-65+,Police,14139,0,0,,
2010,TAS,General,0-65+,Police,3735,0,0,,
2010,VIC,General,0-65+,Police,54728,0,0,,
2010,WA,General,0-65+,Police,11705,0,0,,
2011,ACT,General,0-65+,Police,2284,0,0,,
2011,NSW,General,0-65+,Police,46714,0,0,,
2011,NT,General,0-65+,Police,729,0,0,,
2011,QLD,General,0-65+,Police,30389,0,0,,
2011,SA,General,0-65+,Police,13402,0,0,,
2011,TAS,General,0-65+,Police,3241,0,0,,
2011,VIC,General,0-65+,Police,52630,0,0,,
2011,WA,General,0-65+,Police,10485,0,0,,
2012,ACT,General,0-65+,Police,1722,0,0,,
2012,NSW,General,0-65+,Police,42900,0,0,,
2012,NT,General,0-65+,Police,722,0,0,,
2012,QLD,General,0-65+,Police,28548,0,0,,
2012,SA,General,0-65+,Police,11623,0,0,,
2012,TAS,General,0-65+,Police,2141,0,0,,
2012,VIC,General,0-65+,Police,61497,0,0,,
2012,WA,General,0-65+,Police,17822,0,0,,
2013,ACT,General,0-65+,Police,1356,0,0,,
2013,NSW,General,0-65+,Police,33514,0,0,,
2013,NT,General,0-65+,Police,1058,0,0,,
2013,QLD,General,0-65+,Police,27998,0,0,,
2013,SA,General,0-65+,Police,12560,0,0,,
2013,TAS,General,0-65+,Police,2914,0,0,,
2013,VIC,General,0-65+,Police,52452,0,0,,
2013,WA,General,0-65+,Police,14563,0,0,,
2014,ACT,General,0-65+,Police,1115,0,0,,
2014,NSW,General,0-65+,Police,34952,0,0,,
2014,NT,General,0-65+,Police,517,0,0,,
2014,QLD,General,0-65+,Police,25068,0,0,,
2014,SA,General,0-65+,Police,11886,0,0,,
2014,TAS,General,0-65+,Police,3256,0,0,,
2014,VIC,General,0-65+,Police,41448,0,0,,
2014,WA,General,0-65+,Police,14377,0,0,,
2015,ACT,General,0-65+,Police,873,0,0,,
2015,NSW,General,0-65+,Police,37989,0,0,,
2015,NT,General,0-65+,Police,492,0,0,,
2015,QLD,General,0-65+,Police,23048,0,0,,
2015,SA,General,0-65+,Police,12446,0,0,,
2015,TAS,General,0-65+,Police,3273,0,0,,
2015,VIC,General,0-65+,Police,33598,0,0,,
2015,WA,General,0-65+,Police,16666,0,0,,
2016,ACT,General,0-65+,Police,1120,0,0,,
2016,NSW,General,0-65+,Police,38918,0,0,,
2016,NT,General,0-65+,Police,535,0,0,,
2016,QLD,General,0-65+,Police,17213,0,0,,
2016,SA,General,0-65+,Police,11153,0,0,,
2016,TAS,General,0-65+,Police,3191,0,0,,
2016,VIC,General,0-65+,Police,27925,0,0,,
2016,WA,General,0-65+,Police,14926,0,0,,
2017,ACT,General,0-65+,Police,1299,0,0,,
2017,NSW,General,0-65+,Police,41020,0,0,,
2017,NT,General,0-65+,Police,546,0,0,,
2017,QLD,General,0-65+,Police,15043,0,0,,
2017,SA,General,0-65+,Police,11252,0,0,,
2017,TAS,General,0-65+,Police,2738,0,0,,
2017,VIC,General,0-65+,Police,29293,0,0,,
2017,WA,General,0-65+,Police,16718,0,0,,
2018,ACT,General,0-65+,Police,1399,0,0,,
2018,NSW,General,0-65+,Police,37653,0,0,,
2018,NT,General,0-65+,Police,861,0,0,,
2018,QLD,General,0-65+,Police,12828,0,0,,
2018,SA,General,0-65+,Police,8471,0,0,,
2018,TAS,General,0-65+,Police,2614,0,0,,
2018,VIC,General,0-65+,Police,32458,0,0,,
2018,WA,General,0-65+,Police,17697,0,0,,
2019,ACT,General,0-65+,Police,1098,0,0,,
2019,NSW,General,0-65+,Police,25463,0,0,,
2019,NT,General,0-65+,Police,760,0,0,,
2019,QLD,General,0-65+,Police,11580,0,0,,
2019,SA,General,0-65+,Police,7567,0,0,,
2019,TAS,General,0-65+,Police,2355,0,0,,
2019,VIC,General,0-65+,Police,36694,0,0,,
2019,WA,General,0-65+,Police,11850,0,0,,
2020,ACT,General,0-65+,Police,812,0,0,,
2020,NSW,General,0-65+,Camera,138847,0,0,,
2020,NSW,General,0-65+,Police,12878,0,0,,
2020,NT,General,0-65+,Police,380,0,0,,
2020,QLD,General,0-65+,Police,4823,0,0,,
2020,SA,General,0-65+,Police,6325,0,0,,
2020,TAS,General,0-65+,Police,1966,0,0,,
2020,VIC,General,0-65+,Police,21231,0,0,,
2020,WA,General,0-65+,Police,7889,0,0,,
2021,ACT,General,0-65+,Police,544,0,0,,
2021,NSW,General,0-65+,Camera,163722,0,0,,
2021,NSW,General,0-65+,Police,10360,0,0,,
2021,NT,General,0-65+,Police,309,0,0,,
2021,QLD,General,0-65+,Camera,14574,0,0,,
2021,QLD,General,0-65+,Police,3973,0,0,,
2021,SA,General,0-65+,Police,4799,0,0,,
2021,TAS,General,0-65+,Police,2328,0,0,,
2021,VIC,General,0-65+,Police,15562,0,0,,
2021,WA,General,0-65+,Police,4909,0,0,,
2022,ACT,General,0-65+,Police,374,0,0,,
2022,NSW,General,0-65+,Camera,194793,0,0,,
2022,NSW,General,0-65+,Police,12904,0,0,,
2022,NT,General,0-65+,Police,302,0,0,,
2022,QLD,General,0-65+,Camera,118152,0,0,,
2022,QLD,General,0-65+,Police,3487,0,0,,
2022,SA,General,0-65+,Police,4583,0,0,,
2022,TAS,General,0-65+,Police,1973,0,0,,
2022,VIC,General,0-65+,Police,19428,0,0,,
2022,WA,General,0-65+,Police,6346,0,0,,
2023,ACT,Major Cities of Australia,0-16,Police,10,0,0,,
2023,ACT,Major Cities of Australia,17-25,Police,82,0,0,,
2023,ACT,Major Cities of Australia,26-39,Police,110,0,0,,
2023,ACT,Major Cities of Australia,40-64,Police,79,0,0,,
2023,ACT,Major Cities of Australia,65 and over,Police,7,0,0,,
2023,NSW,General,0-65+,Camera,202757,0,0,,
2023,NSW,General,17-25,Police,46,0,0,,
2023,NSW,General,26-39,Police,65,0,1,,
2023,NSW,General,40-64,Police,28,0,1,,
2023,NSW,General,65 and over,Police,3,0,0,,
2023,NSW,Inner Regional Australia,0-16,Police,11,0,0,,
2023,NSW,Inner Regional Australia,17-25,Police,521,0,7,,
2023,NSW,Inner Regional Australia,26-39,Police,680,0,7,,
2023,NSW,Inner Regional Australia,40-64,Police,527,0,8,,
2023,NSW,Inner Regional Australia,65 and over,Police,62,0,0,,
2023,NSW,Major Cities of Australia,0-16,Police,7,0,1,,
2023,NSW,Major Cities of Australia,17-25,Police,3496,0,45,,
2023,NSW,Major Cities of Australia,26-39,Police,4184,0,72,,
2023,NSW,Major Cities of Australia,40-64,Police,3035,0,38,,
2023,NSW,Major Cities of Australia,65 and over,Police,301,0,1,,
2023,NSW,Outer Regional Australia,0-16,Police,0,0,1,,
2023,NSW,Outer Regional Australia,17-25,Police,73,0,3,,
2023,NSW,Outer Regional Australia,26-39,Police,114,0,1,,
2023,NSW,Outer Regional Australia,40-64,Police,98,0,0,,
2023,NSW,Outer Regional Australia,65 and over,Police,11,0,0,,
2023,NSW,Remote Australia,17-25,Police,3,0,1,,
2023,NSW,Remote Australia,26-39,Police,11,0,0,,
2023,NSW,Remote Australia,40-64,Police,2,0,0,,
2023,NSW,Remote Australia,65 and over,Police,2,0,0,,
2023,NSW,Very Remote Australia,17-25,Police,2,0,0,,
2023,NSW,Very Remote Australia,26-39,Police,1,0,0,,
2023,NSW,Very Remote Australia,40-64,Police,2,0,0,,
2023,NT,General,17-25,Police,41,2,6,,
2023,NT,General,26-39,Police,90,1,2,,
2023,NT,General,40-64,Police,64,0,0,,
2023,NT,General,65 and over,Police,10,2,6,,
2023,QLD,General,0-65+,Camera,77213,0,0,,
2023,QLD,General,0-65+,Police,3079,0,0,,
2023,SA,General,0-16,Police,3,0,0,,
2023,SA,General,0-65+,Police,0,0,0,,
2023,SA,General,17-25,Police,1387,0,0,,
2023,SA,General,26-39,Police,2272,0,0,,
2023,SA,General,40-64,Police,1805,0,0,,
2023,SA,General,65 and over,Police,302,0,0,,
2023,TAS,General,0-16,Police,0,0,0,,
2023,TAS,General,17-25,Camera,80,0,0,,
2023,TAS,General,17-25,Police,360,0,13,,
2023,TAS,General,26-39,Camera,361,0,0,,
2023,TAS,General,26-39,Police,656,0,21,,
2023,TAS,General,40-64,Camera,374,0,0,,
2023,TAS,General,40-64,Police,463,0,3,,
2023,TAS,General,65 and over,Camera,55,0,0,,
2023,TAS,General,65 and over,Police,79,0,0,,
2023,VIC,General,0-65+,Camera,883,0,0,,
2023,VIC,General,17-25,Camera,11,0,0,,
2023,VIC,General,17-25,Police,15,0,0,,
2023,VIC,General,26-39,Camera,79,0,0,,
2023,VIC,General,26-39,Police,52,0,0,,
2023,VIC,General,40-64,Camera,98,0,0,,
2023,VIC,General,40-64,Police,27,0,0,,
2023,VIC,General,65 and over,Camera,9,0,0,,
2023,VIC,Inner Regional Australia,0-16,Police,2,0,0,,
2023,VIC,Inner Regional Australia,0-65+,Camera,1498,0,0,,
2023,VIC,Inner Regional Australia,0-65+,Police,1,0,0,,
2023,VIC,Inner Regional Australia,17-25,Camera,181,0,0,,
2023,VIC,Inner Regional Australia,17-25,Police,411,0,0,,
2023,VIC,Inner Regional Australia,26-39,Camera,830,0,0,,
2023,VIC,Inner Regional Australia,26-39,Police,819,0,0,,
2023,VIC,Inner Regional Australia,40-64,Camera,989,0,0,,
2023,VIC,Inner Regional Australia,40-64,Police,618,0,0,,
2023,VIC,Inner Regional Australia,65 and over,Camera,170,0,0,,
2023,VIC,Inner Regional Australia,65 and over,Police,79,0,0,,
2023,VIC,Major Cities of Australia,0-16,Police,4,0,0,,
2023,VIC,Major Cities of Australia,0-65+,Camera,15807,0,0,,
2023,VIC,Major Cities of Australia,0-65+,Police,7,0,0,,
2023,VIC,Major Cities of Australia,17-25,Camera,701,0,0,,
2023,VIC,Major Cities of Australia,17-25,Police,3031,0,0,,
2023,VIC,Major Cities of Australia,26-39,Camera,3934,0,0,,
2023,VIC,Major Cities of Australia,26-39,Police,7255,0,0,,
2023,VIC,Major Cities of Australia,40-64,Camera,4824,0,0,,
2023,VIC,Major Cities of Australia,40-64,Police,5449,0,0,,
2023,VIC,Major Cities of Australia,65 and over,Camera,698,0,0,,
2023,VIC,Major Cities of Australia,65 and over,Police,585,0,0,,
2023,VIC,Outer Regional Australia,0-65+,Camera,8,0,0,,
2023,VIC,Outer Regional Australia,17-25,Police,90,0,0,,
2023,VIC,Outer Regional Australia,26-39,Police,193,0,0,,
2023,VIC,Outer Regional Australia,40-64,Camera,3,0,0,,
2023,VIC,Outer Regional Australia,40-64,Police,154,0,0,,
2023,VIC,Outer Regional Australia,65 and over,Police,31,0,0,,
2023,WA,General,0-16,Camera,0,0,1,,
2023,WA,General,17-25,Camera,0,1,34,,
2023,WA,General,17-25,Police,706,0,0,,
2023,WA,General,26-39,Camera,0,3,66,,
2023,WA,General,26-39,Police,1512,0,0,,
2023,WA,General,40-64,Camera,0,3,50,,
2023,WA,General,40-64,Police,1227,0,0,,
2023,WA,General,65 and over,Camera,0,0,6,,
2023,WA,General,65 and over,Police,147,0,0,,
2024,ACT,Major Cities of Australia,0-16,Camera,4,0,0,,
2024,ACT,Major Cities of Australia,0-16,Police,3,0,0,,
2024,ACT,Major Cities of Australia,0-65+,Camera,772,0,0,,
2024,ACT,Major Cities of Australia,0-65+,Police,2,0,0,,
2024,ACT,Major Cities of Australia,17-25,Camera,3601,0,0,,
2024,ACT,Major Cities of Australia,17-25,Police,54,0,3,,
2024,ACT,Major Cities of Australia,26-39,Camera,10788,0,0,,
2024,ACT,Major Cities of Australia,26-39,Police,75,1,6,,
2024,ACT,Major Cities of Australia,40-64,Camera,10535,0,0,,
2024,ACT,Major Cities of Australia,40-64,Police,52,1,4,,
2024,ACT,Major Cities of Australia,65 and over,Camera,1236,0,0,,
2024,ACT,Major Cities of Australia,65 and over,Police,3,0,0,,
2024,NSW,General,0-65+,Camera,147272,0,0,,
2024,NSW,General,17-25,Police,115,0,2,,
2024,NSW,General,26-39,Police,111,0,3,,
2024,NSW,General,40-64,Police,71,0,0,,
2024,NSW,General,65 and over,Police,6,0,0,,
2024,NSW,Inner Regional Australia,0-16,Police,3,0,2,,
2024,NSW,Inner Regional Australia,17-25,Police,579,0,5,,
2024,NSW,Inner Regional Australia,26-39,Police,681,0,8,,
2024,NSW,Inner Regional Australia,40-64,Police,457,0,6,,
2024,NSW,Inner Regional Australia,65 and over,Police,67,0,0,,
2024,NSW,Major Cities of Australia,0-16,Police,18,0,5,,
2024,NSW,Major Cities of Australia,17-25,Police,4539,0,79,,
2024,NSW,Major Cities of Australia,26-39,Police,4401,0,53,,
2024,NSW,Major Cities of Australia,40-64,Police,3024,0,30,,
2024,NSW,Major Cities of Australia,65 and over,Police,332,0,5,,
2024,NSW,Outer Regional Australia,0-16,Police,1,0,0,,
2024,NSW,Outer Regional Australia,17-25,Police,88,0,4,,
2024,NSW,Outer Regional Australia,26-39,Police,104,0,0,,
2024,NSW,Outer Regional Australia,40-64,Police,94,0,2,,
2024,NSW,Outer Regional Australia,65 and over,Police,15,0,0,,
2024,NSW,Remote Australia,17-25,Police,6,0,1,,
2024,NSW,Remote Australia,26-39,Police,4,0,2,,
2024,NSW,Remote Australia,40-64,Police,5,0,0,,
2024,NSW,Remote Australia,65 and over,Police,1,0,0,,
2024,NSW,Very Remote Australia,26-39,Police,2,0,1,,
2024,NSW,Very Remote Australia,40-64,Police,1,0,0,,
2024,NT,General,0-16,Police,1,0,0,,
2024,NT,General,17-25,Police,45,0,2,,
2024,NT,General,26-39,Police,112,0,2,,
2024,NT,General,40-64,Police,78,1,7,,
2024,NT,General,65 and over,Police,8,0,0,,
2024,QLD,General,0-16,Camera,2101,0,0,,
2024,QLD,General,0-16,Police,3,0,0,,
2024,QLD,General,0-65+,Camera,301,0,0,,
2024,QLD,General,0-65+,Police,1,0,0,,
2024,QLD,General,17-25,Camera,9694,0,0,,
2024,QLD,General,17-25,Police,757,0,0,,
2024,QLD,General,26-39,Camera,27876,0,0,,
2024,QLD,General,26-39,Police,1322,0,0,,
2024,QLD,General,40-64,Camera,28641,0,0,,
